ranking,club name,country,point score,1 year change
840,CAPS United,Zimbabwe,1368.0,135.0
2487,CAS de Sévaré,Mali,1222.0,30.0
1477,Centre Salif Kéita,Mali,1298.0,25.0
1222,Ceramica Cleopatra,Egypt,1323.0,66.0
1489,Chabab Atlas Khénifra,Morocco,1297.0,22.0
1754,Chabab Rif Al Hoceima,Morocco,1274.0,2.0
2311,Chambishi FC,Zambia,1237.0,205.0
1763,Chapungu United,Zimbabwe,1273.0,0.0
617,Chicken Inn FC,Zimbabwe,1407.0,45.0
1667,Chippa United,South Africa,1283.0,33.0
2436,Chiredzi FC,Zimbabwe,1226.0,29.0
521,Club Africain,Tunisia,1430.0,17.0
2190,Club Olympique de Médenine,Tunisia,1245.0,44.0
2440,Club Omnisports de Korhogo (CIV),Ivory Coast,1226.0,97.0
2337,CO Bouafle,Ivory Coast,1235.0,40.0
1705,CODM Meknès,Morocco,1279.0,4.0
798,Colombe du Dja et Lobo,Cameroon,1375.0,284.0
2082,Cosmos de Bafia,Cameroon,1252.0,0.0
367,Coton Sport,Cameroon,1471.0,6.0
217,CR Belouizdad,Algeria,1533.0,142.0
2315,Cranborne Bullets FC,Zimbabwe,1237.0,209.0
2034,Crown FC,Nigeria,1254.0,0.0
520,CS Constantine,Algeria,1430.0,63.0
2013,CS Hammam-Lif,Tunisia,1255.0,114.0
346,CS Sfaxien,Tunisia,1478.0,52.0
1765,Dan Kassawa,Niger,1273.0,0.0
2482,Debo Club,Mali,1222.0,31.0
1399,Delta Force FC,Nigeria,1303.0,5.0
1563,Denguélé Sport,Ivory Coast,1290.0,23.0
1351,Desportivo Da Huíla,Angola,1308.0,56.0
2204,Diaraf,Senegal,1244.0,39.0
928,Difaâ El Jadida,Morocco,1357.0,174.0
396,Djoliba AC,Mali,1463.0,10.0
376,Dolphins FC,Nigeria,1469.0,250.0
2473,Domant FC,Angola,1223.0,27.0
2333,Dongo,Zimbabwe,1235.0,39.0
1744,Douanes Niamey,Niger,1275.0,2.0
2459,Douglas Warriors,Zimbabwe,1224.0,26.0
1815,Dragon de Yaoundé,Cameroon,1270.0,236.0
1283,DRB Tadjenanet,Algeria,1316.0,6.0
1701,Dreams FC,Ghana,1280.0,39.0
1483,Duguwolofila,Mali,1297.0,22.0
278,Dynamos,Zimbabwe,1507.0,6.0
1830,Eagles,Zimbabwe,1268.0,12.0
1436,Ebusua Dwarfs,Ghana,1301.0,103.0
738,Eding Sport FC,Cameroon,1386.0,419.0
2445,EFYM,Ivory Coast,1225.0,24.0
1669,EGS Gafsa,Tunisia,1283.0,11.0
1858,El Dakhleya,Egypt,1267.0,15.0
1628,El Entag El Harby,Egypt,1286.0,142.0
829,El Geish,Egypt,1370.0,117.0
1508,El Gounah,Egypt,1295.0,226.0
1240,El Kanemi Warriors,Nigeria,1321.0,3.0
2032,El Mansura,Egypt,1254.0,0.0
2060,El Minya,Egypt,1253.0,1.0
2227,El Nasr Tadeen,Egypt,1243.0,40.0
2558,El Nsoor,Sudan,1215.0,22.0
1967,El Raja,Egypt,1259.0,2.0
178,El Zamalek,Egypt,1557.0,38.0
1982,El-Sharkia Lel Dokhan (Eastern Company SC),Egypt,1258.0,541.0
2194,Eleven Wise,Ghana,1245.0,42.0
2026,Eleven Wonders FC,Ghana,1255.0,166.0
2455,Elmina Sharks,Ghana,1225.0,499.0
610,ENPPI,Egypt,1407.0,81.0
1852,Entente Sportive du Bafing,Ivory Coast,1267.0,233.0
565,Enugu Rangers,Nigeria,1420.0,19.0
505,Enyimba,Nigeria,1433.0,44.0
1727,EO Sidi Bouzid,Tunisia,1277.0,0.0
2469,ES Bingerville,Ivory Coast,1224.0,25.0
418,ES Sétif,Algeria,1457.0,82.0
146,Esperance de Tunis,Tunisia,1579.0,36.0
2268,Espoir,Niger,1241.0,37.0
285,Etoile du Sahel,Tunisia,1503.0,76.0
1238,Etoile Metlaoui,Tunisia,1321.0,21.0
546,FAR Rabat,Morocco,1425.0,62.0
1370,Fauve Azur Elite FC,Cameroon,1306.0,71.0
1079,FC Bravos DO Maquis,Angola,1339.0,46.0
2348,FC Masr,Egypt,1234.0,39.0
695,FC Platinum,Zimbabwe,1393.0,61.0
1362,FC Struga Trim-Lum,Nigeria,1307.0,26.0
1778,Ferroviário da Beira,Mozambique,1272.0,4.0
2339,Ferroviário Do Huambo,Angola,1235.0,100.0
947,Feutcheu FC,Cameroon,1354.0,116.0
2401,FK Borec Veles,Nigeria,1230.0,715.0
2191,Flame Lilly,Zimbabwe,1245.0,44.0
2302,Forest Rangers,Zambia,1237.0,120.0
854,Fovu de Baham,Cameroon,1366.0,24.0
1571,Free State Stars,South Africa,1290.0,22.0
692,FUS Rabat,Morocco,1393.0,89.0
896,Future FC,Egypt,1360.0,545.0
1987,Gabès,Tunisia,1258.0,6.0
2019,Gaborone United,Botswana,1255.0,1.0
1675,Gateway FC,Nigeria,1282.0,11.0
2250,GD Baixa de Kassanje,Angola,1242.0,119.0
2258,GFK Tikvesh,Nigeria,1241.0,152.0
2008,Ghazl El Mehalla,Egypt,1256.0,321.0
1000,Giwa FC,Nigeria,1347.0,3.0
1496,Go Round,Nigeria,1296.0,18.0
1131,Gombe United,Nigeria,1331.0,169.0
1635,Green Buffaloes,Zambia,1286.0,107.0
1677,Green Eagles,Zambia,1282.0,419.0
1893,Grombalia Sports,Tunisia,1264.0,3.0
598,Gunners,Zimbabwe,1411.0,2.0
1648,Hamam Sousse,Tunisia,1284.0,306.0
1397,Harare City,Zimbabwe,1303.0,54.0
1576,Haras El-Hodood SC,Egypt,1289.0,23.0
2305,Hardbody,Zimbabwe,1237.0,45.0
1981,Hasaacas,Ghana,1258.0,2.0
831,Hassania Agadir,Morocco,1370.0,89.0
2156,Hay Al Arab,Sudan,1248.0,42.0
1837,Hay Al Wadi SC,Sudan,1268.0,8.0
1083,HB Chelghoum Laïd,Algeria,1339.0,358.0
1192,Heart of Lions,Ghana,1326.0,10.0
1273,Heartland FC,Nigeria,1317.0,356.0
843,Hearts of Oak,Ghana,1368.0,19.0
1950,Herentals FC,Zimbabwe,1260.0,157.0
564,Highlanders,Zimbabwe,1420.0,33.0
1174,Highlands Park,South Africa,1328.0,4.0
2109,Highway,Zimbabwe,1250.0,51.0
1126,Hilal Al-Obayed,Sudan,1333.0,6.0
2307,Hilal El-Fasher,Sudan,1237.0,45.0
2352,Hiré,Ivory Coast,1233.0,40.0
1209,Horoya AC,Guinea,1324.0,77.0
1835,How Mine,Zimbabwe,1268.0,10.0
864,Hwange,Zimbabwe,1365.0,12.0
1321,Ifeanyi Ubah United,Nigeria,1312.0,11.0
1732,Ikorodu United,Nigeria,1276.0,1.0
2679,Indeni FC,Zambia,1191.0,60.0
1997,Inter Allies FC,Ghana,1257.0,246.0
693,Interclube de Angola,Angola,1393.0,7.0
1044,Ismaily SC,Egypt,1342.0,169.0
1630,Issia Wazi,Ivory Coast,1286.0,18.0
1196,Ittihad El-Shorta,Egypt,1326.0,6.0
1121,Ittihad Tanger,Morocco,1333.0,199.0
2023,Ittihad Zemouri de Khemisset,Morocco,1255.0,1.0
2468,Jangorzo,Niger,1224.0,25.0
2539,Jazeerat Al Feel,Sudan,1217.0,24.0
1764,JC Abidjan,Ivory Coast,1273.0,0.0
847,Jeanne d'Arc de Bamako,Mali,1367.0,15.0
1236,Jeunesse Sportive Soualem,Morocco,1322.0,205.0
1535,Jigawa Golden Stars,Nigeria,1292.0,153.0
2450,Jomo Cosmos,South Africa,1225.0,26.0
448,JS Kabylie,Algeria,1448.0,94.0
2693,JS Kairouanaise,Tunisia,1188.0,7.0
403,JS Saoura,Algeria,1462.0,97.0
2263,JSK Chabab Kasba Tadla,Morocco,1241.0,38.0
1075,JSM Béjaïa,Algeria,1339.0,11.0
1879,JSM Laâyoune,Morocco,1265.0,6.0
2686,JSM Skikda,Algeria,1189.0,735.0
1820,JUTH FC,Nigeria,1269.0,11.0
2298,Jwaneng Galaxy FC,Botswana,1238.0,192.0
757,Kabuscorp SCP,Angola,1382.0,166.0
1880,Kabwe Warriors,Zambia,1265.0,79.0
1979,KAC Kénitra,Morocco,1258.0,1.0
1335,KACM Marrakech,Morocco,1310.0,0.0
1542,Kaduna United FC,Nigeria,1292.0,30.0
2346,Kafue Celtic,Zambia,1234.0,240.0
580,Kaizer Chiefs,South Africa,1417.0,47.0
2101,Kaloum Star,Guinea,1250.0,2.0
2422,Kalulushi Modern Stars,Zambia,1227.0,32.0
703,Kano Pillars,Nigeria,1392.0,211.0
1985,Kansanshi Dynamos,Zambia,1258.0,122.0
1741,Karela United FC,Ghana,1276.0,135.0
1068,Katsina United,Nigeria,1340.0,184.0
1886,KCCA FC,Togo,1264.0,2.0
1383,Khroub,Algeria,1304.0,1.0
1953,Kiglon,Zimbabwe,1260.0,4.0
1960,King Faisal,Ghana,1259.0,92.0
2603,Kitwe United,Zambia,1208.0,20.0
2506,Konkola Blades,Zambia,1220.0,130.0
2489,Konkola Mine Police,Zambia,1221.0,30.0
827,Kwara United,Nigeria,1370.0,101.0
897,Lamontville Golden Arrows,South Africa,1360.0,53.0
1661,Lausanne,Cameroon,1283.0,584.0
1274,Legon Cities FC,Ghana,1317.0,6.0
1935,Lengthens,Zimbabwe,1261.0,3.0
1472,Liberty Professionals,Ghana,1298.0,38.0
1995,Liga Muçulmana,Mozambique,1257.0,4.0
2477,Lime Hotspurs,Zambia,1223.0,28.0
1691,Lion Blessé,Cameroon,1280.0,5.0
2102,LLB Académic,Burundi,1250.0,2.0
826,Lobi Stars,Nigeria,1370.0,158.0
1543,LPTA Tozeur,Tunisia,1292.0,30.0
2397,Lumwana Radiants,Zambia,1230.0,29.0
2366,Lusaka Dynamos,Zambia,1232.0,154.0
2266,Lys Sassandra,Ivory Coast,1241.0,61.0
748,Maghreb Fès,Morocco,1383.0,345.0
122,Mamelodi Sundowns FC,South Africa,1604.0,23.0
1803,Manica Diamonds,Zimbabwe,1270.0,304.0
1434,Maritzburg United,South Africa,1301.0,238.0
1459,Marumo Gallants FC,South Africa,1299.0,215.0
979,Masvingo United,Zimbabwe,1350.0,0.0
2223,Mbabane Swallows,Sudan,1243.0,40.0
642,MC Alger,Algeria,1402.0,7.0
983,MC El Eulma,Algeria,1349.0,1.0
690,MC Oran,Algeria,1394.0,60.0
1017,MCO Oujda,Morocco,1344.0,161.0
879,Medeama SC,Ghana,1363.0,0.0
2364,Merikh Kosti,Sudan,1233.0,38.0
1425,Merreikh El-Fasher,Sudan,1301.0,1.0
2062,Merreikh Nyala,Sudan,1253.0,0.0
1306,MFM FC,Nigeria,1314.0,324.0
2091,Mighty Jets,Ghana,1251.0,1.0
1574,Misr El Makasa,Egypt,1289.0,787.0
1502,MO Béjaia,Algeria,1296.0,20.0
1102,Moghreb Tétouan,Morocco,1336.0,262.0
952,Monomatapa United,Zimbabwe,1353.0,18.0
2260,Moossou FC,Ivory Coast,1241.0,38.0
1338,Moroka Swallows,South Africa,1310.0,382.0
682,Motor Action,Zimbabwe,1394.0,7.0
2207,MSP Batna,Algeria,1244.0,39.0
1897,Mufulira Wanderers,Zambia,1264.0,4.0
2049,NA Hussein Dey,Algeria,1254.0,484.0
2402,Nacional de Benguela,Angola,1230.0,29.0
2496,Nakambala Leopards,Zambia,1221.0,29.0
2368,NAPSA Stars FC,Zambia,1232.0,35.0
815,Nasarawa United,Nigeria,1372.0,23.0
2698,National Assembly,Zambia,1186.0,9.0
994,National Bank,Egypt,1348.0,689.0
1138,NC Magra,Algeria,1331.0,698.0
1877,Nchanga Rangers,Zambia,1265.0,9.0
2119,Nembe City FC,Nigeria,1250.0,47.0
1409,New Edubiase FC,Ghana,1302.0,1.0
1606,New Star de Douala,Cameroon,1288.0,228.0
1895,Ngezi Platinum FC,Zimbabwe,1264.0,212.0
1938,NIGELEC,Niger,1261.0,1.0
1155,Niger Tornadoes,Nigeria,1329.0,24.0
1782,Njala Quan,Cameroon,1272.0,6.0
1966,Njube Sundowns,Zimbabwe,1259.0,2.0
1586,Nkana FC,Zambia,1289.0,169.0
2077,Nkwazi,Zambia,1252.0,68.0
1851,Nogoom FC,Egypt,1267.0,11.0
1700,Ocean Boys FC,Nigeria,1280.0,3.0
1157,OCK Khouribga,Morocco,1329.0,226.0
2471,Office Niger Sports,Mali,1223.0,26.0
1750,OFTA FC,Cameroon,1275.0,309.0
1161,Olympic Club de Safi,Morocco,1328.0,114.0
1512,Olympic El Qanah FC,Egypt,1295.0,25.0
1924,Olympic Niamey,Niger,1262.0,6.0
1329,Olympique Béja,Tunisia,1311.0,104.0
574,Olympique de Bamako,Mali,1419.0,6.0
1547,Olympique de Medea,Algeria,1291.0,441.0
2198,Olympique de Missira,Mali,1245.0,42.0
1929,Olympique du Kef,Tunisia,1262.0,7.0
1599,Onze Créateurs,Mali,1288.0,20.0
463,Orlando Pirates,South Africa,1444.0,73.0
2275,Ouragahio,Ivory Coast,1240.0,38.0
2105,PA Sambizanga,Angola,1250.0,71.0
1525,Panthère,Cameroon,1293.0,401.0
766,Paradou AC,Algeria,1381.0,62.0
1291,Petrojet,Egypt,1315.0,6.0
1185,Pharco FC,Egypt,1327.0,256.0
506,Plateau United,Nigeria,1433.0,34.0
1253,Platinum Stars,South Africa,1319.0,3.0
2488,Police FC,Niger,1222.0,30.0
1506,Polokwane City,South Africa,1295.0,21.0
2481,Porcelana FC,Angola,1222.0,30.0
1089,Power Dynamos,Zambia,1338.0,9.0
1602,Pretoria University,South Africa,1288.0,19.0
1781,Prison Leopards,Zambia,1272.0,224.0
2133,Progresso Associação do Sambizanga,Angola,1249.0,406.0
1736,Progresso da Lunda Sul,Angola,1276.0,2.0
1026,Pwd Bamenda,Cameroon,1343.0,41.0
325,Pyramids FC,Egypt,1487.0,84.0
2523,Quelaton,Zimbabwe,1218.0,27.0
1428,Racing Club d'Abidjan,Ivory Coast,1301.0,155.0
2287,Racing de Casablanca,Morocco,1239.0,42.0
2588,Raja Beni Mellal,Morocco,1209.0,19.0
2176,Ranchers Bees,Nigeria,1246.0,42.0
1649,Rapide Club Oued Zem,Morocco,1284.0,544.0
1336,RC Arbaâ,Algeria,1310.0,432.0
1947,RC Bafoussam,Cameroon,1260.0,715.0
2036,RC Relizane,Algeria,1254.0,862.0
193,RCA Raja Casablanca Athletic,Morocco,1548.0,58.0
2578,Real Tamale,Ghana,1212.0,69.0
1025,Recreativo da Caála,Angola,1343.0,50.0
752,Recreativo do Libolo,Angola,1383.0,106.0
1035,Red Arrows,Zambia,1342.0,499.0
1303,Remo Stars,Nigeria,1314.0,790.0
1360,Renaissance Club Zemamra,Morocco,1307.0,319.0
1584,Renaissance de Ngoumou,Cameroon,1289.0,238.0
1553,Rising Stars,Nigeria,1291.0,25.0
2261,Roan United,Zambia,1241.0,38.0
2323,Roumde Adjia,Cameroon,1236.0,40.0
951,Royal AM,South Africa,1354.0,490.0
604,RSB Berkane,Morocco,1409.0,10.0
2265,Sabana de Mopti,Mali,1241.0,38.0
2122,Sabé,Ivory Coast,1250.0,46.0
1504,Sable Batié,Cameroon,1295.0,20.0
891,Sagrada Esperança,Angola,1361.0,182.0
2038,Sahel,Niger,1254.0,1.0
1426,Saïda,Algeria,1301.0,1.0
1956,Saint George,Ethiopia,1260.0,5.0
970,San Pedro,Ivory Coast,1352.0,176.0
2451,Santa Rita de Cássia FC,Angola,1225.0,48.0
1357,Santos,South Africa,1308.0,4.0
2236,Santos de Angola,Angola,1243.0,37.0
2320,Saurimo FC,Angola,1236.0,40.0
1063,SC Chabab Mohammédia,Morocco,1340.0,314.0
2056,Scorpion FC de Bé,Cameroon,1253.0,2.0
1456,sekhukhune united fc,South Africa,1299.0,14.0
763,Séwé,Ivory Coast,1381.0,18.0
1385,Shabanie Mine,Zimbabwe,1304.0,1.0
1009,Sharks,Nigeria,1345.0,9.0
